[Tue Aug 01 18:37:33.147193 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Attach interpreter ''.
[Tue Aug 01 18:37:46.171626 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Shutdown requested 'LAMPDots'.
[Tue Aug 01 18:37:46.180998 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Stopping process 'LAMPDots'.
[Tue Aug 01 18:37:46.181493 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Destroying interpreters.
[Tue Aug 01 18:37:46.181597 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Cleanup interpreter ''.
[Tue Aug 01 18:37:46.183362 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Terminating Python.
[Tue Aug 01 18:37:46.185074 2017] [:info] [pid 9890:tid 140639290140544] mod_wsgi (pid=9890): Python has shutdown.
[Tue Aug 01 18:37:47.259377 2017] [:info] [pid 10040:tid 140361673566080] mod_wsgi (pid=10040): Attach interpreter ''.
[Tue Aug 01 18:39:33.395264 2017] [authz_core:debug] [pid 10042:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.395476 2017] [authz_core:debug] [pid 10042:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.396201 2017] [authz_core:debug] [pid 10042:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.396289 2017] [authz_core:debug] [pid 10042:tid 140361351497472] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.774156 2017] [authz_core:debug] [pid 10042:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.774242 2017] [authz_core:debug] [pid 10042:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.775385 2017] [authz_core:debug] [pid 10042:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:33.775532 2017] [authz_core:debug] [pid 10042:tid 140361326319360] mod_authz_core.c(802): [client 10.0.2.2:64747] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.327793 2017] [authz_core:debug] [pid 10041:tid 140361452209920] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of Require all granted: granted, referer: http://127.0.0.1:8080/
[Tue Aug 01 18:39:35.327937 2017] [authz_core:debug] [pid 10041:tid 140361452209920] mod_authz_core.c(802): [client 10.0.2.2:64746] AH01626: authorization result of <RequireAny>: granted, referer: http://127.0.0.1:8080/
